rut,cohorte,estado,sigla,creditos,nivel_original,nivel_alumno,nota,oportunidad,estado_aprobacion,max_semestres,label,ultimo_nivel,estado_temporal
411,2013,Desertor,curso_1,6,1,-1,0,,,10,desercion_antes_1s,-1,Desertor
411,2013,Desertor,curso_3,3,1,-1,0,,,10,desercion_antes_1s,-1,Desertor
139,2013,Desertor,curso_2,6,1,-1,0,,,10,desercion_antes_1s,-1,Desertor
139,2013,Desertor,curso_1,6,1,-1,0,,,10,desercion_antes_1s,-1,Desertor
139,2013,Desertor,curso_3,3,1,-1,0,,,10,desercion_antes_1s,-1,Desertor
546,2013,Desertor,curso_2,6,1,-1,0,,,10,desercion_antes_1s,-1,Desertor
546,2013,Desertor,curso_1,6,1,-1,0,,,10,desercion_antes_1s,-1,Desertor
546,2013,Desertor,curso_3,3,1,-1,0,,,10,desercion_antes_1s,-1,Desertor
694,2013,Desertor,curso_2,6,1,-1,0,,,10,desercion_antes_1s,-1,Desertor
694,2013,Desertor,curso_1,6,1,-1,0,,,10,desercion_antes_1s,-1,Desertor
694,2013,Desertor,curso_3,3,1,-1,0,,,10,desercion_antes_1s,-1,Desertor
83,2013,Desertor,curso_2,6,1,-1,0,,,10,desercion_antes_1s,-1,Desertor
83,2013,Desertor,curso_1,6,1,-1,0,,,10,desercion_antes_1s,-1,Desertor
83,2013,Desertor,curso_3,3,1,-1,0,,,10,desercion_antes_1s,-1,Desertor
590,2013,Desertor,curso_2,6,1,-1,0,,,10,desercion_antes_1s,-1,Desertor
590,2013,Desertor,curso_1,6,1,-1,0,,,10,desercion_antes_1s,-1,Desertor
590,2013,Desertor,curso_3,3,1,-1,0,,,10,desercion_antes_1s,-1,Desertor
82,2013,Desertor,curso_2,6,1,-1,0,,,10,desercion_antes_1s,-1,Desertor
82,2013,Desertor,curso_1,6,1,-1,0,,,10,desercion_antes_1s,-1,Desertor
82,2013,Desertor,curso_3,3,1,-1,0,,,10,desercion_antes_1s,-1,Desertor
527,2013,Desertor,curso_2,6,1,-1,0,,,10,desercion_antes_1s,-1,Desertor
527,2013,Desertor,curso_1,6,1,-1,0,,,10,desercion_antes_1s,-1,Desertor
527,2013,Desertor,curso_3,3,1,-1,0,,,10,desercion_antes_1s,-1,Desertor
609,2013,Desertor,curso_2,6,1,-1,0,,,10,desercion_antes_1s,-1,Desertor
609,2013,Desertor,curso_1,6,1,-1,0,,,10,desercion_antes_1s,-1,Desertor
609,2013,Desertor,curso_3,3,1,-1,0,,,10,desercion_antes_1s,-1,Desertor
358,2014,Desertor,curso_2,6,1,-1,0,,,8,desercion_antes_1s,-1,Desertor
358,2014,Desertor,curso_1,6,1,-1,0,,,8,desercion_antes_1s,-1,Desertor
358,2014,Desertor,curso_3,3,1,-1,0,,,8,desercion_antes_1s,-1,Desertor
313,2015,Desertor,curso_2,6,1,-1,0,,,6,desercion_antes_1s,-1,Desertor
313,2015,Desertor,curso_1,6,1,-1,0,,,6,desercion_antes_1s,-1,Desertor
313,2015,Desertor,curso_3,3,1,-1,0,,,6,desercion_antes_1s,-1,Desertor
577,2015,Desertor,curso_2,6,1,-1,0,,,6,desercion_antes_1s,-1,Desertor
577,2015,Desertor,curso_1,6,1,-1,0,,,6,desercion_antes_1s,-1,Desertor
577,2015,Desertor,curso_3,3,1,-1,0,,,6,desercion_antes_1s,-1,Desertor
398,2016,Desertor,curso_2,6,1,-1,0,,,4,desercion_antes_1s,-1,Desertor
398,2016,Desertor,curso_1,6,1,-1,0,,,4,desercion_antes_1s,-1,Desertor
398,2016,Desertor,curso_3,3,1,-1,0,,,4,desercion_antes_1s,-1,Desertor
319,2016,Desertor,curso_2,6,1,-1,0,,,4,desercion_antes_1s,-1,Desertor
319,2016,Desertor,curso_1,6,1,-1,0,,,4,desercion_antes_1s,-1,Desertor
319,2016,Desertor,curso_3,3,1,-1,0,,,4,desercion_antes_1s,-1,Desertor
454,2016,Desertor,curso_2,6,1,-1,0,,,4,desercion_antes_1s,-1,Desertor
454,2016,Desertor,curso_1,6,1,-1,0,,,4,desercion_antes_1s,-1,Desertor
454,2016,Desertor,curso_3,3,1,-1,0,,,4,desercion_antes_1s,-1,Desertor
136,2017,Matriculado,curso_2,6,1,-1,0,,,2,desercion_antes_1s,-1,Matriculado
136,2017,Matriculado,curso_1,6,1,-1,0,,,2,desercion_antes_1s,-1,Matriculado
136,2017,Matriculado,curso_3,3,1,-1,0,,,2,desercion_antes_1s,-1,Matriculado
441,2017,Desertor,curso_2,6,1,-1,0,,,2,desercion_antes_1s,-1,Desertor
441,2017,Desertor,curso_1,6,1,-1,0,,,2,desercion_antes_1s,-1,Desertor
441,2017,Desertor,curso_3,3,1,-1,0,,,2,desercion_antes_1s,-1,Desertor
482,2017,Desertor,curso_2,6,1,-1,0,,,2,desercion_antes_1s,-1,Desertor
482,2017,Desertor,curso_1,6,1,-1,0,,,2,desercion_antes_1s,-1,Desertor
482,2017,Desertor,curso_3,3,1,-1,0,,,2,desercion_antes_1s,-1,Desertor
184,2014,Matriculado,curso_9,4,3,1,75,1.0,A,8,convalidaciones_erradas,10,Matriculado
184,2014,Matriculado,curso_13,2,3,1,75,1.0,A,8,convalidaciones_erradas,10,Matriculado
184,2014,Matriculado,curso_2,6,1,1,14285,,A,8,convalidaciones_erradas,10,Matriculado
184,2014,Matriculado,curso_1,6,1,1,14285,,A,8,convalidaciones_erradas,10,Matriculado
184,2014,Matriculado,curso_3,3,1,1,71,1.0,A,8,convalidaciones_erradas,10,Matriculado
184,2014,Matriculado,curso_7,3,2,1,64,1.0,A,8,convalidaciones_erradas,10,Matriculado
184,2014,Matriculado,curso_11,4,3,1,67,3.0,R,8,convalidaciones_erradas,10,Matriculado
184,2014,Matriculado,curso_8,3,2,1,14285,,A,8,convalidaciones_erradas,10,Matriculado
184,2014,Matriculado,curso_14,2,3,2,68,1.0,A,8,convalidaciones_erradas,10,Matriculado
184,2014,Matriculado,curso_6,4,2,1,14285,,A,8,convalidaciones_erradas,10,Matriculado
184,2014,Matriculado,curso_5,4,2,1,14285,,A,8,convalidaciones_erradas,10,Matriculado
184,2014,Matriculado,curso_16,4,4,2,64,2.0,R,8,convalidaciones_erradas,10,Matriculado
184,2014,Matriculado,curso_10,4,3,2,57,1.0,A,8,convalidaciones_erradas,10,Matriculado
184,2014,Matriculado,curso_11,4,3,2,67,3.0,R,8,convalidaciones_erradas,10,Matriculado
184,2014,Matriculado,curso_12,4,3,2,61,4.0,R,8,convalidaciones_erradas,10,Matriculado
184,2014,Matriculado,curso_4,4,2,3,58,2.0,R,8,convalidaciones_erradas,10,Matriculado
184,2014,Matriculado,curso_16,4,4,3,64,2.0,A,8,convalidaciones_erradas,10,Matriculado
184,2014,Matriculado,curso_11,4,3,3,67,3.0,A,8,convalidaciones_erradas,10,Matriculado
184,2014,Matriculado,curso_12,4,3,3,61,4.0,R,8,convalidaciones_erradas,10,Matriculado
184,2014,Matriculado,curso_18,3,4,4,71,1.0,A,8,convalidaciones_erradas,10,Matriculado
184,2014,Matriculado,curso_19,3,4,4,65,1.0,A,8,convalidaciones_erradas,10,Matriculado
184,2014,Matriculado,curso_4,4,2,4,58,2.0,A,8,convalidaciones_erradas,10,Matriculado
184,2014,Matriculado,curso_12,4,3,4,61,4.0,R,8,convalidaciones_erradas,10,Matriculado
184,2014,Matriculado,curso_25,3,5,5,67,1.0,A,8,convalidaciones_erradas,10,Matriculado
184,2014,Matriculado,curso_22,3,5,5,65,2.0,R,8,convalidaciones_erradas,10,Matriculado
184,2014,Matriculado,curso_17,5,4,5,74,2.0,R,8,convalidaciones_erradas,10,Matriculado
184,2014,Matriculado,curso_27,4,5,5,61,3.0,R,8,convalidaciones_erradas,10,Matriculado
184,2014,Matriculado,curso_12,4,3,5,61,4.0,A,8,convalidaciones_erradas,10,Matriculado
184,2014,Matriculado,curso_22,3,5,6,65,2.0,A,8,convalidaciones_erradas,10,Matriculado
184,2014,Matriculado,curso_24,3,5,6,77,1.0,A,8,convalidaciones_erradas,10,Matriculado
184,2014,Matriculado,curso_17,5,4,6,74,2.0,A,8,convalidaciones_erradas,10,Matriculado
184,2014,Matriculado,curso_20,4,4,6,62,1.0,A,8,convalidaciones_erradas,10,Matriculado
184,2014,Matriculado,curso_27,4,5,6,61,3.0,R,8,convalidaciones_erradas,10,Matriculado
184,2014,Matriculado,curso_27,4,5,7,61,3.0,A,8,convalidaciones_erradas,10,Matriculado
184,2014,Matriculado,curso_23,4,5,7,58,1.0,A,8,convalidaciones_erradas,10,Matriculado
184,2014,Matriculado,curso_26,4,5,7,-14,1.0,R,8,convalidaciones_erradas,10,Matriculado
184,2014,Matriculado,curso_54,3,10,1,14285,,A,8,convalidaciones_erradas,10,Matriculado
237,2015,Matriculado,curso_14,2,3,1,68,2.0,R,6,convalidaciones_erradas,8,Matriculado
237,2015,Matriculado,curso_13,2,3,1,64,2.0,R,6,convalidaciones_erradas,8,Matriculado
237,2015,Matriculado,curso_2,6,1,1,14285,,A,6,convalidaciones_erradas,8,Matriculado
237,2015,Matriculado,curso_1,6,1,1,14285,,A,6,convalidaciones_erradas,8,Matriculado
237,2015,Matriculado,curso_3,3,1,1,75,1.0,A,6,convalidaciones_erradas,8,Matriculado
237,2015,Matriculado,curso_31,4,6,1,57,4.0,R,6,convalidaciones_erradas,8,Matriculado
237,2015,Matriculado,curso_25,3,5,2,72,1.0,A,6,convalidaciones_erradas,8,Matriculado
237,2015,Matriculado,curso_8,3,2,2,65,1.0,A,6,convalidaciones_erradas,8,Matriculado
237,2015,Matriculado,curso_14,2,3,2,68,2.0,A,6,convalidaciones_erradas,8,Matriculado
237,2015,Matriculado,curso_6,4,2,1,14285,,A,6,convalidaciones_erradas,8,Matriculado
237,2015,Matriculado,curso_13,2,3,2,64,2.0,A,6,convalidaciones_erradas,8,Matriculado
237,2015,Matriculado,curso_5,4,2,1,14285,,A,6,convalidaciones_erradas,8,Matriculado
237,2015,Matriculado,curso_7,3,2,1,14285,,A,6,convalidaciones_erradas,8,Matriculado
237,2015,Matriculado,curso_4,4,2,1,14285,,A,6,convalidaciones_erradas,8,Matriculado
237,2015,Matriculado,curso_30,3,6,2,70,3.0,R,6,convalidaciones_erradas,8,Matriculado
237,2015,Matriculado,curso_31,4,6,2,57,4.0,R,6,convalidaciones_erradas,8,Matriculado
237,2015,Matriculado,curso_24,3,5,3,57,1.0,A,6,convalidaciones_erradas,8,Matriculado
237,2015,Matriculado,curso_10,4,3,1,14285,,A,6,convalidaciones_erradas,8,Matriculado
237,2015,Matriculado,curso_28,3,6,3,65,3.0,R,6,convalidaciones_erradas,8,Matriculado
237,2015,Matriculado,curso_11,4,3,1,14285,,A,6,convalidaciones_erradas,8,Matriculado
237,2015,Matriculado,curso_30,3,6,3,70,3.0,R,6,convalidaciones_erradas,8,Matriculado
237,2015,Matriculado,curso_31,4,6,3,57,4.0,R,6,convalidaciones_erradas,8,Matriculado
237,2015,Matriculado,curso_18,3,4,1,14285,,A,6,convalidaciones_erradas,8,Matriculado
237,2015,Matriculado,curso_16,4,4,1,14285,,A,6,convalidaciones_erradas,8,Matriculado
237,2015,Matriculado,curso_17,5,4,1,14285,,A,6,convalidaciones_erradas,8,Matriculado
237,2015,Matriculado,curso_28,3,6,4,65,3.0,R,6,convalidaciones_erradas,8,Matriculado
237,2015,Matriculado,curso_30,3,6,4,70,3.0,A,6,convalidaciones_erradas,8,Matriculado
237,2015,Matriculado,curso_31,4,6,4,57,4.0,A,6,convalidaciones_erradas,8,Matriculado
237,2015,Matriculado,curso_19,3,4,5,61,1.0,A,6,convalidaciones_erradas,8,Matriculado
237,2015,Matriculado,curso_38,4,7,5,60,1.0,A,6,convalidaciones_erradas,8,Matriculado
237,2015,Matriculado,curso_28,3,6,5,65,3.0,A,6,convalidaciones_erradas,8,Matriculado
237,2015,Matriculado,curso_27,4,5,1,14285,,A,6,convalidaciones_erradas,8,Matriculado
237,2015,Matriculado,curso_12,4,3,5,68,1.0,A,6,convalidaciones_erradas,8,Matriculado
237,2015,Matriculado,curso_26,4,5,1,14285,,A,6,convalidaciones_erradas,8,Matriculado
237,2015,Matriculado,curso_22,3,5,6,58,1.0,A,6,convalidaciones_erradas,8,Matriculado
237,2015,Matriculado,curso_34,3,7,6,-14,1.0,R,6,convalidaciones_erradas,8,Matriculado
237,2015,Matriculado,curso_39,3,7,6,27,1.0,R,6,convalidaciones_erradas,8,Matriculado
237,2015,Matriculado,curso_20,4,4,6,60,1.0,A,6,convalidaciones_erradas,8,Matriculado
237,2015,Matriculado,curso_44,4,8,1,14285,,A,6,convalidaciones_erradas,8,Matriculado
557,2016,Desertor,curso_2,6,1,1,14285,,A,4,convalidaciones_erradas,7,Matriculado
557,2016,Desertor,curso_12,4,3,1,14285,,A,4,convalidaciones_erradas,7,Matriculado
557,2016,Desertor,curso_19,3,4,1,14285,,A,4,convalidaciones_erradas,7,Matriculado
557,2016,Desertor,curso_20,4,4,1,14285,,A,4,convalidaciones_erradas,7,Matriculado
557,2016,Desertor,curso_22,3,5,1,14285,,A,4,convalidaciones_erradas,7,Matriculado
557,2016,Desertor,curso_24,3,5,1,14285,,A,4,convalidaciones_erradas,7,Matriculado
557,2016,Desertor,curso_27,4,5,1,14285,,A,4,convalidaciones_erradas,7,Matriculado
557,2016,Desertor,curso_26,4,5,1,14285,,A,4,convalidaciones_erradas,7,Matriculado
557,2016,Desertor,curso_39,3,7,1,14285,,A,4,convalidaciones_erradas,7,Matriculado
557,2016,Desertor,curso_35,3,7,1,14285,,A,4,convalidaciones_erradas,7,Matriculado
364,2017,Matriculado,curso_14,2,3,1,74,2.0,R,2,convalidaciones_erradas,9,Matriculado
364,2017,Matriculado,curso_2,6,1,1,14285,,A,2,convalidaciones_erradas,9,Matriculado
364,2017,Matriculado,curso_1,6,1,1,14285,,A,2,convalidaciones_erradas,9,Matriculado
364,2017,Matriculado,curso_3,3,1,1,84,1.0,A,2,convalidaciones_erradas,9,Matriculado
364,2017,Matriculado,curso_12,4,3,1,64,1.0,A,2,convalidaciones_erradas,9,Matriculado
364,2017,Matriculado,curso_25,3,5,2,71,1.0,A,2,convalidaciones_erradas,9,Matriculado
364,2017,Matriculado,curso_8,3,2,2,84,1.0,A,2,convalidaciones_erradas,9,Matriculado
364,2017,Matriculado,curso_14,2,3,2,74,2.0,A,2,convalidaciones_erradas,9,Matriculado
364,2017,Matriculado,curso_6,4,2,1,14285,,A,2,convalidaciones_erradas,9,Matriculado
364,2017,Matriculado,curso_5,4,2,1,14285,,A,2,convalidaciones_erradas,9,Matriculado
364,2017,Matriculado,curso_39,3,7,2,64,1.0,A,2,convalidaciones_erradas,9,Matriculado
364,2017,Matriculado,curso_7,3,2,1,14285,,A,2,convalidaciones_erradas,9,Matriculado
364,2017,Matriculado,curso_4,4,2,1,14285,,A,2,convalidaciones_erradas,9,Matriculado
364,2017,Matriculado,curso_20,4,4,2,68,1.0,A,2,convalidaciones_erradas,9,Matriculado
364,2017,Matriculado,curso_9,4,3,1,14285,,A,2,convalidaciones_erradas,9,Matriculado
364,2017,Matriculado,curso_10,4,3,1,14285,,A,2,convalidaciones_erradas,9,Matriculado
364,2017,Matriculado,curso_11,4,3,1,14285,,A,2,convalidaciones_erradas,9,Matriculado
364,2017,Matriculado,curso_18,3,4,1,14285,,A,2,convalidaciones_erradas,9,Matriculado
364,2017,Matriculado,curso_19,3,4,1,14285,,A,2,convalidaciones_erradas,9,Matriculado
364,2017,Matriculado,curso_16,4,4,1,14285,,A,2,convalidaciones_erradas,9,Matriculado
364,2017,Matriculado,curso_17,5,4,1,14285,,A,2,convalidaciones_erradas,9,Matriculado
364,2017,Matriculado,curso_22,3,5,1,14285,,A,2,convalidaciones_erradas,9,Matriculado
364,2017,Matriculado,curso_27,4,5,1,14285,,A,2,convalidaciones_erradas,9,Matriculado
364,2017,Matriculado,curso_26,4,5,1,14285,,A,2,convalidaciones_erradas,9,Matriculado
364,2017,Matriculado,curso_28,3,6,1,14285,,A,2,convalidaciones_erradas,9,Matriculado
364,2017,Matriculado,curso_30,3,6,1,14285,,A,2,convalidaciones_erradas,9,Matriculado
364,2017,Matriculado,curso_31,4,6,1,14285,,A,2,convalidaciones_erradas,9,Matriculado
364,2017,Matriculado,curso_34,3,7,1,14285,,A,2,convalidaciones_erradas,9,Matriculado
364,2017,Matriculado,curso_43,3,8,1,14285,,A,2,convalidaciones_erradas,9,Matriculado
364,2017,Matriculado,curso_51,3,9,1,14285,,A,2,convalidaciones_erradas,9,Matriculado
668,2017,Matriculado,curso_18,3,4,1,65,1.0,A,2,convalidaciones_erradas,4,Matriculado
668,2017,Matriculado,curso_9,4,3,1,71,1.0,A,2,convalidaciones_erradas,4,Matriculado
668,2017,Matriculado,curso_2,6,1,1,14285,,A,2,convalidaciones_erradas,4,Matriculado
668,2017,Matriculado,curso_1,6,1,1,14285,,A,2,convalidaciones_erradas,4,Matriculado
668,2017,Matriculado,curso_3,3,1,1,77,1.0,A,2,convalidaciones_erradas,4,Matriculado
668,2017,Matriculado,curso_10,4,3,1,58,1.0,A,2,convalidaciones_erradas,4,Matriculado
668,2017,Matriculado,curso_12,4,3,1,41,2.0,R,2,convalidaciones_erradas,4,Matriculado
668,2017,Matriculado,curso_8,3,2,2,88,1.0,A,2,convalidaciones_erradas,4,Matriculado
668,2017,Matriculado,curso_14,2,3,2,71,1.0,A,2,convalidaciones_erradas,4,Matriculado
668,2017,Matriculado,curso_6,4,2,1,14285,,A,2,convalidaciones_erradas,4,Matriculado
668,2017,Matriculado,curso_5,4,2,1,14285,,A,2,convalidaciones_erradas,4,Matriculado
668,2017,Matriculado,curso_7,3,2,1,14285,,A,2,convalidaciones_erradas,4,Matriculado
668,2017,Matriculado,curso_4,4,2,1,14285,,A,2,convalidaciones_erradas,4,Matriculado
668,2017,Matriculado,curso_17,5,4,2,77,1.0,A,2,convalidaciones_erradas,4,Matriculado
668,2017,Matriculado,curso_27,4,5,2,60,1.0,A,2,convalidaciones_erradas,4,Matriculado
668,2017,Matriculado,curso_12,4,3,2,41,2.0,R,2,convalidaciones_erradas,4,Matriculado
668,2017,Matriculado,curso_16,4,4,1,14285,,A,2,convalidaciones_erradas,4,Matriculado
395,2017,Matriculado,curso_6,4,2,1,65,1.0,A,2,convalidaciones_erradas,5,Matriculado
395,2017,Matriculado,curso_2,6,1,1,14285,,A,2,convalidaciones_erradas,5,Matriculado
395,2017,Matriculado,curso_1,6,1,1,14285,,A,2,convalidaciones_erradas,5,Matriculado
395,2017,Matriculado,curso_3,3,1,1,70,1.0,A,2,convalidaciones_erradas,5,Matriculado
395,2017,Matriculado,curso_7,3,2,1,64,1.0,A,2,convalidaciones_erradas,5,Matriculado
395,2017,Matriculado,curso_10,4,3,1,61,2.0,R,2,convalidaciones_erradas,5,Matriculado
395,2017,Matriculado,curso_9,4,3,2,78,1.0,A,2,convalidaciones_erradas,5,Matriculado
395,2017,Matriculado,curso_8,3,2,1,14285,,A,2,convalidaciones_erradas,5,Matriculado
395,2017,Matriculado,curso_14,2,3,2,64,1.0,A,2,convalidaciones_erradas,5,Matriculado
395,2017,Matriculado,curso_13,2,3,2,77,1.0,A,2,convalidaciones_erradas,5,Matriculado
395,2017,Matriculado,curso_5,4,2,1,14285,,A,2,convalidaciones_erradas,5,Matriculado
395,2017,Matriculado,curso_4,4,2,1,14285,,A,2,convalidaciones_erradas,5,Matriculado
395,2017,Matriculado,curso_10,4,3,2,61,2.0,A,2,convalidaciones_erradas,5,Matriculado
395,2017,Matriculado,curso_11,4,3,2,61,1.0,A,2,convalidaciones_erradas,5,Matriculado
395,2017,Matriculado,curso_12,4,3,2,-14,1.0,R,2,convalidaciones_erradas,5,Matriculado
395,2017,Matriculado,curso_24,3,5,1,14285,,A,2,convalidaciones_erradas,5,Matriculado
395,2017,Matriculado,curso_27,4,5,1,14285,,A,2,convalidaciones_erradas,5,Matriculado
84,2017,Matriculado,curso_2,6,1,1,14285,,A,2,convalidaciones_erradas,3,Matriculado
84,2017,Matriculado,curso_1,6,1,1,14285,,A,2,convalidaciones_erradas,3,Matriculado
84,2017,Matriculado,curso_3,3,1,1,67,1.0,A,2,convalidaciones_erradas,3,Matriculado
84,2017,Matriculado,curso_5,4,2,1,70,2.0,R,2,convalidaciones_erradas,3,Matriculado
84,2017,Matriculado,curso_7,3,2,1,68,1.0,A,2,convalidaciones_erradas,3,Matriculado
84,2017,Matriculado,curso_18,3,4,2,70,1.0,A,2,convalidaciones_erradas,3,Matriculado
84,2017,Matriculado,curso_9,4,3,2,88,1.0,A,2,convalidaciones_erradas,3,Matriculado
84,2017,Matriculado,curso_8,3,2,1,14285,,A,2,convalidaciones_erradas,3,Matriculado
84,2017,Matriculado,curso_6,4,2,1,14285,,A,2,convalidaciones_erradas,3,Matriculado
84,2017,Matriculado,curso_13,2,3,2,64,1.0,A,2,convalidaciones_erradas,3,Matriculado
84,2017,Matriculado,curso_5,4,2,2,70,2.0,A,2,convalidaciones_erradas,3,Matriculado
84,2017,Matriculado,curso_4,4,2,1,14285,,A,2,convalidaciones_erradas,3,Matriculado
84,2017,Matriculado,curso_12,4,3,2,61,1.0,A,2,convalidaciones_erradas,3,Matriculado
84,2017,Matriculado,curso_11,4,3,1,14285,,A,2,convalidaciones_erradas,3,Matriculado
563,2017,Matriculado,curso_2,6,1,1,14285,,A,2,convalidaciones_erradas,3,Matriculado
563,2017,Matriculado,curso_1,6,1,1,14285,,A,2,convalidaciones_erradas,3,Matriculado
563,2017,Matriculado,curso_3,3,1,1,70,1.0,A,2,convalidaciones_erradas,3,Matriculado
563,2017,Matriculado,curso_7,3,2,1,64,1.0,A,2,convalidaciones_erradas,3,Matriculado
563,2017,Matriculado,curso_16,4,4,1,78,1.0,A,2,convalidaciones_erradas,3,Matriculado
563,2017,Matriculado,curso_10,4,3,1,57,1.0,A,2,convalidaciones_erradas,3,Matriculado
563,2017,Matriculado,curso_18,3,4,2,71,1.0,A,2,convalidaciones_erradas,3,Matriculado
563,2017,Matriculado,curso_9,4,3,2,85,1.0,A,2,convalidaciones_erradas,3,Matriculado
563,2017,Matriculado,curso_8,3,2,2,91,1.0,A,2,convalidaciones_erradas,3,Matriculado
563,2017,Matriculado,curso_6,4,2,1,14285,,A,2,convalidaciones_erradas,3,Matriculado
563,2017,Matriculado,curso_5,4,2,1,14285,,A,2,convalidaciones_erradas,3,Matriculado
563,2017,Matriculado,curso_4,4,2,1,14285,,A,2,convalidaciones_erradas,3,Matriculado
563,2017,Matriculado,curso_17,5,4,2,72,1.0,A,2,convalidaciones_erradas,3,Matriculado
563,2017,Matriculado,curso_12,4,3,2,64,1.0,A,2,convalidaciones_erradas,3,Matriculado
563,2017,Matriculado,curso_11,4,3,1,14285,,A,2,convalidaciones_erradas,3,Matriculado
236,2010,Titulado,curso_6,4,2,1,65,1.0,A,16,no_consistentes,14,Matriculado
236,2010,Titulado,curso_2,6,1,1,14285,,A,16,no_consistentes,14,Matriculado
236,2010,Titulado,curso_1,6,1,1,68,1.0,A,16,no_consistentes,14,Matriculado
236,2010,Titulado,curso_3,3,1,1,71,2.0,R,16,no_consistentes,14,Matriculado
236,2010,Titulado,curso_5,4,2,1,80,2.0,R,16,no_consistentes,14,Matriculado
236,2010,Titulado,curso_9,4,3,2,57,1.0,A,16,no_consistentes,14,Matriculado
236,2010,Titulado,curso_3,3,1,2,71,2.0,A,16,no_consistentes,14,Matriculado
236,2010,Titulado,curso_5,4,2,2,80,2.0,A,16,no_consistentes,14,Matriculado
236,2010,Titulado,curso_7,3,2,2,14285,,A,16,no_consistentes,14,Matriculado
236,2010,Titulado,curso_4,4,2,2,65,2.0,R,16,no_consistentes,14,Matriculado
236,2010,Titulado,curso_11,4,3,2,75,1.0,A,16,no_consistentes,14,Matriculado
236,2010,Titulado,curso_12,4,3,2,64,4.0,R,16,no_consistentes,14,Matriculado
236,2010,Titulado,curso_8,3,2,3,61,1.0,A,16,no_consistentes,14,Matriculado
236,2010,Titulado,curso_4,4,2,3,65,2.0,A,16,no_consistentes,14,Matriculado
236,2010,Titulado,curso_10,4,3,3,57,1.0,A,16,no_consistentes,14,Matriculado
236,2010,Titulado,curso_12,4,3,3,64,4.0,R,16,no_consistentes,14,Matriculado
236,2010,Titulado,curso_18,3,4,4,68,1.0,A,16,no_consistentes,14,Matriculado
236,2010,Titulado,curso_25,3,5,4,80,1.0,A,16,no_consistentes,14,Matriculado
236,2010,Titulado,curso_14,2,3,4,70,1.0,A,16,no_consistentes,14,Matriculado
236,2010,Titulado,curso_13,2,3,4,88,1.0,A,16,no_consistentes,14,Matriculado
236,2010,Titulado,curso_16,4,4,4,14285,,A,16,no_consistentes,14,Matriculado
236,2010,Titulado,curso_17,5,4,4,62,1.0,A,16,no_consistentes,14,Matriculado
236,2010,Titulado,curso_27,4,5,4,57,2.0,R,16,no_consistentes,14,Matriculado
236,2010,Titulado,curso_12,4,3,4,64,4.0,R,16,no_consistentes,14,Matriculado
236,2010,Titulado,curso_19,3,4,5,65,1.0,A,16,no_consistentes,14,Matriculado
236,2010,Titulado,curso_24,3,5,5,60,1.0,A,16,no_consistentes,14,Matriculado
236,2010,Titulado,curso_27,4,5,5,57,2.0,A,16,no_consistentes,14,Matriculado
236,2010,Titulado,curso_12,4,3,5,64,4.0,A,16,no_consistentes,14,Matriculado
236,2010,Titulado,curso_26,4,5,5,68,2.0,R,16,no_consistentes,14,Matriculado
236,2010,Titulado,curso_22,3,5,6,71,1.0,A,16,no_consistentes,14,Matriculado
236,2010,Titulado,curso_26,4,5,6,68,2.0,A,16,no_consistentes,14,Matriculado
